,date,year,month,day,area,place,title
62,2016/9/19,2016,9,19,Africa, 中非共和國,中非叛軍組織被控屠殺26人 
63,2016/9/19,2016,9,19,Africa, 南蘇丹,「聯合國難民署」：來自南蘇丹的難民破百萬人 
64,2016/9/14,2016,9,14,Africa, 南非,南非禁止美國反同牧師入境 
65,2016/9/13,2016,9,13,Africa, 坦尚尼亞,坦尚尼亞強震釀至少16死 
66,2016/9/12,2016,9,12,Africa, 肯亞,3名女子試圖對肯亞警察局發動攻擊 
67,2016/9/10,2016,9,10,Africa, 貝南,非洲貝南垃圾場傳爆炸，至少2死61傷 
68,2016/9/9,2016,9,9,Africa, 加彭,質疑總統選舉不公，加彭反對派提告憲法法庭 
69,2016/9/8,2016,9,8,Africa, 辛巴威,杜絕盜獵行徑，辛巴威先行為犀牛割角 
70,2016/9/7,2016,9,7,Africa, 加彭,抗議總統選舉不公，加彭司法部長宣布辭職 
71,2016/9/2,2016,9,2,Africa, 加彭,抗議總統選舉不公，加彭首都陷入混亂 
72,2016/9/1,2016,9,1,Africa, 加彭,加彭現任總統以些微差距連任成功 
73,2016/8/31,2016,8,31,Africa, 索馬利亞,索馬利亞首都遭汽車炸彈攻擊，共5死10傷 
74,2016/8/30,2016,8,30,Africa, 加彭,「歐盟」觀察團：加彭總統選舉「缺乏透明度」 
75,2016/8/29,2016,8,29,Africa, 加彭,加彭反對派總統候選人宣布勝選 
76,2016/8/26,2016,8,26,Africa, 奈及利亞,奈及利亞近50萬名孩童嚴重營養不良 
77,2016/8/25,2016,8,25,Africa, 辛巴威,辛巴威民眾抗議總統獨裁，演變成警民暴力衝突 
78,2016/8/24,2016,8,24,Africa, 剛果民主共和國,「世衛」將召開緊急會議，商討黃熱病疫情 
79,2016/8/24,2016,8,24,Africa, 利比亞,利比亞國會對「聯合國」支持的聯合政府投下不信任票 
80,2016/8/22,2016,8,22,Africa, 馬利,破壞文化遺址廷巴克圖，馬利叛軍向國際刑事法院認罪 
81,2016/8/19,2016,8,19,Africa, 剛果民主共和國,遭政府軍追殺，南蘇丹副總統流亡剛果 
82,2016/8/18,2016,8,18,Africa, 南蘇丹,南蘇丹政府軍性侵外籍志工，聯合國維和部隊拒絕伸出援手 
83,2016/8/17,2016,8,17,Africa, 尚比亞,尚比亞傳總統選舉不公，警方逮捕133名抗議民眾 
84,2016/8/16,2016,8,16,Africa, 尚比亞,尚比亞總統連任成功，反對黨痛批作票 
85,2016/8/15,2016,8,15,Africa, 剛果民主共和國,剛果小鎮遭屠殺，舉國哀悼3日 
86,2016/8/12,2016,8,12,Africa, 尚比亞,尚比亞總統暨國會大選順利落幕 
87,2016/8/11,2016,8,11,Africa, 利比亞,利比亞宣稱已將「伊斯蘭國」逐出蘇爾特 
88,2016/8/9,2016,8,9,Africa, 衣索匹亞,國際特赦組織：衣索比亞近百名示威民眾遭警方槍殺 
89,2016/8/8,2016,8,8,Africa, 聖多美及普林西比,聖多美總統杯葛總統大選第二輪選舉 
