,date,area,place,title
72,2016.07.20,Africa, 馬利,馬利軍事基地遭伊斯蘭激進分子攻擊 
73,2016.07.19,Africa, 奈及利亞,「聯合國兒童基金會」：奈及利亞近25萬名兒童營養不良 
74,2016.07.18,Africa, 摩洛哥,時隔32年，摩洛哥尋求重新加入「非洲聯盟」 
75,2016.07.15,Africa, 南蘇丹,烏干達部隊赴南蘇丹撤僑 
76,2016.07.13,Africa, 南蘇丹,逾7成南蘇丹人急需人道救助 
77,2016.07.12,Africa, 索馬利亞,索馬利亞軍事基地遭自殺炸彈攻擊，8人身亡 
78,2016.07.11,Africa, 南蘇丹,南蘇丹首都爆發激戰，至少272人喪生 
79,2016.07.07,Africa, 莫三比克,印度總理出訪非洲4國 
80,2016.07.06,Africa, 盧安達,「非洲聯盟」推出「單一護照制」 
81,2016.07.01,Africa, 索馬利亞,索馬利亞公車遭路邊炸彈攻擊，至少14人喪生 
82,2016.06.30,Africa, 南蘇丹,「聯合國」：480萬南蘇丹人將嚴重缺糧 
83,2016.06.29,Africa, 埃及,埃及將英籍黎巴嫩裔政論節目主持人驅逐出境 
84,2016.06.28,Africa, 南非,南非總統公款私用，財政部追討50萬美元 
85,2016.06.27,Africa, 奈及利亞,"奈及利亞部隊自「博科聖地」手中救出5,000名人質 "
86,2016.06.24,Africa, 南蘇丹,維和部隊坐視南蘇丹難民營遇襲，「聯合國」要求撤回 
87,2016.06.23,Africa, 奈及利亞,無國界醫生：奈及利亞難民營近200人餓死 
88,2016.06.22,Africa, 剛果,國際刑事法庭：剛果前副總統犯下戰爭罪，判刑18年 
89,2016.06.21,Africa, 肯亞,肯亞5名員警遇襲身亡，「索馬利亞青年黨」疑為主謀 
90,2016.06.20,Africa, 埃及,埃航MS804失事班機尋獲黑盒子 
91,2016.06.17,Africa, 利比亞,利比亞又傳自殺汽車炸彈襲擊，10死7傷 
92,2016.06.16,Africa, 厄立垂亞,厄立垂亞與衣索匹亞爆發邊界衝突 
93,2016.06.15,Africa, 迦納,印度總統稱將在迦納提高貿易投資額 
94,2016.06.14,Africa, 利比亞,利比亞自「伊斯蘭國」奪回關鍵城市 
95,2016.06.13,Africa, 迦納,印度總統出訪迦納等非洲3國 
96,2016.06.07,Africa, 南非,英澳警告：南非面臨恐攻威脅 
97,2016.06.03,Africa, 甘比亞,「國際特赦組織」：甘比亞應停止鎮壓異議人士 
98,2016.06.03,Africa, 埃及,法國向埃及交付2艘「西北風級」航母 
