"","title","date","place"
"318","翁山蘇姬將出任緬甸外長 ","2016.03.23"," 緬甸"
"319","臺灣漁船在印尼海域遭槍擊 ","2016.03.23"," 印尼"
"320","陸企租下澳洲達爾文港，美國憂軍情恐外洩 ","2016.03.22"," 澳洲"
"321","動作頻頻，北韓再度發射5枚短程飛行物 ","2016.03.22"," 北韓"
"322","杜拜客機墜毀俄羅斯，機上62人全數罹難 ","2016.03.21"," 俄羅斯"
"323","澳洲總理：勞動法案若未通過將解散國會 ","2016.03.21"," 澳洲"
"324","土耳其伊斯坦堡鬧區傳自殺攻擊，5死36傷 ","2016.03.21"," 土耳其"
"325","澳洲參議院通過選制改革法案，為國會提前改選鋪路 ","2016.03.18"," 澳洲"
"326","北韓再度試射飛彈，疑為「蘆洞」中程飛彈 ","2016.03.18"," 北韓"
"327","掌握恐攻情資，德國暫時關閉駐土耳其使館及學校 ","2016.03.18"," 土耳其"
"328","北韓判處一名美國大學生15年勞改 ","2016.03.17"," 北韓"
"329","巴基斯坦白沙瓦發生巴士爆炸案，至少15死 ","2016.03.16"," 巴基斯坦"
"330","印尼擊沉惡名昭彰的盜獵漁船 「維京號」 ","2016.03.16"," 印尼"
"331","緬甸國會舉行表決，翁山蘇姬親信碇喬當選總統 ","2016.03.15"," 緬甸"
"332","難民營女老師獲全球教師獎 ","2016.03.15"," 杜拜"
"333","美航母史坦尼斯號加入韓美聯合軍演 ","2016.03.14"," 南韓"
"334","土耳其首都市中心汽車炸彈攻擊，至少34死 ","2016.03.14"," 土耳其"
"335","日本將派蒼龍級潛艦參與聯合軍演，爭取澳洲採購合約 ","2016.03.11"," 日本"
"336","緬甸總統候選人，翁山蘇姬親信獲提名 ","2016.03.10"," 緬甸"
"337","北韓朝日本海發射2枚短程飛彈 ","2016.03.10"," 北韓"
"338","伊朗試射飛彈意在警告以色列 ","2016.03.10"," 伊朗"
"339","伊朗再度試射彈道飛彈 ","2016.03.09"," 伊朗"
"340","金正恩稱北韓已擁有小型化核彈頭 ","2016.03.09"," 北韓"
"341","北韓駭客試圖攻擊南韓鐵路系統 ","2016.03.08"," 韓國"
"342","美韓舉行史上最大規模聯合軍演 ","2016.03.07"," 南韓"
"343","執行安理會制裁決議，菲律賓扣押北韓貨輪 ","2016.03.07"," 菲律賓"
"344","北韓下令軍方做好動用核武之準備 ","2016.03.04"," 北韓"
"345","安理會甫通過制裁決議，北韓疑發射短程飛彈 ","2016.03.03"," 北韓"
"346","紐西蘭就換國旗進行最後公投 ","2016.03.03"," 紐西蘭"
"347","越南百年大旱重創當地農業 ","2016.03.02"," 越南"
"348","澳洲去年第4季GDP年增3%，優於預期 ","2016.03.02"," 澳洲"
"349","安倍宣布將撥款135億日圓援助難民 ","2016.03.02"," 日本"
"350","伊朗國會大選，改革派獲多數席次 ","2016.03.01"," 伊朗"
"351","敘反對派控政府軍違反停火協議 ","2016.03.01"," 敘利亞"
"352","被控洩漏國家機密遭逮，兩名土國記者終獲釋 ","2016.02.26"," 土耳其"
"353","澳洲指印尼恐攻威脅增，遊客需提高警覺 ","2016.02.26"," 澳洲"
"354","日本1月通膨率掉回零，通縮陰影再現 ","2016.02.26"," 日本"
"355","澳洲規劃未來10年國防預算增加299億澳幣 ","2016.02.25"," 澳洲"
"356","臺灣「富士康」斥資60億美元買下「夏普」 ","2016.02.25"," 日本"
"357","日兩在野黨擬合併迎戰參議院選舉 ","2016.02.24"," 日本"
"358","敘利亞內戰造成逾27萬人喪生 ","2016.02.24"," 敘利亞"
"359","強烈熱帶氣旋襲斐濟，至少29人死亡 ","2016.02.23"," 斐濟"
"360","取締非法捕撈，印尼炸沉27艘外籍漁船 ","2016.02.23"," 印尼"
"361","敘利亞停火協議將於27日生效 ","2016.02.23"," 敘利亞"
"362","美艦隊司令籲澳洲派艦赴南海執行航行自由行動 ","2016.02.22"," 澳洲"
"363","敘利亞遭連環自殺炸彈攻擊 ","2016.02.22"," 敘利亞"
"364","安卡拉遭恐怖攻擊，土耳其總統矢言報復 ","2016.02.19"," 土耳其"
"365","澳、紐就移民問題達成新協議 ","2016.02.19"," 澳洲"
"366","南韓：北韓準備對南韓發動恐攻 ","2016.02.18"," 南韓"
"367","印尼外海傳規模6.2地震 ","2016.02.18"," 印尼"
"368","土耳其首都發生汽車爆炸，釀至少28死 ","2016.02.18"," 土耳其"
"369","美F-22匿蹤戰機飛抵南韓，威懾北韓 ","2016.02.17"," 南韓"
"370","澳洲外長：希望中國大陸停止南海島礁建設 ","2016.02.17"," 澳洲"
"371","沙烏地阿拉伯和俄羅斯同意凍結石油產量 ","2016.02.17"," 卡達"
"372","韓美聯合軍演將達歷年最大規模 ","2016.02.17"," 韓國"
"373","菲警遭共黨游擊隊突襲，6死8傷 ","2016.02.17"," 菲律賓"
"374","南韓官員：北韓將開城收入用於核武計畫的說法仍待證實 ","2016.02.16"," 南韓"
"375","埃及總統塞西月底將首度訪日 ","2016.02.16"," 日本"
"376","敘利亞醫院學校遭空襲，近50人喪生 ","2016.02.16"," 敘利亞"
"377","澳洲外長出訪日本，將與日外務大臣討論北韓議題 ","2016.02.15"," 日本"
"378","日本第4季GDP萎縮1.4%，安倍經濟學再受打擊 ","2016.02.15"," 日本"
"379","日本調派神盾艦因應北韓飛彈 ","2016.02.05"," 日本"
"380","TPP在紐西蘭完成簽署 ","2016.02.04"," 紐西蘭"
"381","「聯合國」暫停敘利亞和談 ","2016.02.04"," 敘利亞"
"382","南韓宣布新一輪振興景氣措施 ","2016.02.03"," 南韓"
"383","北韓將於本月發射人造衛星 ","2016.02.03"," 北韓"
"384","移居紐西蘭之澳洲移民淨流入人數創新高 ","2016.02.02"," 紐西蘭"
"385","「塔利班」對阿富汗首都警察局發動攻擊 ","2016.02.02"," 阿富汗"
"386","緬甸國會今開議，翁山蘇姬時代來臨 ","2016.02.01"," 緬甸"
"387","美艦駛近西沙中建島，越南：尊重無害通行權 ","2016.02.01"," 越南"
"388","以色列拒絕法國就以巴問題所提之最後通牒 ","2016.02.01"," 以色列"
"389","「伊斯蘭國」在敘利亞首都發動炸彈攻擊 ","2016.02.01"," 敘利亞"
"390","伊朗無人機飛越美國航母 ","2016.01.30"," 伊朗"
"391","身陷收賄疑雲，日本經濟再生大臣請辭 ","2016.01.29"," 日本"
"392","日銀實施負利率，震撼市場 ","2016.01.29"," 日本"
"393","巴布亞紐幾內亞是全球女性處境最危險的國家 ","2016.01.28"," 巴布亞紐幾內亞"
"394","緬甸總統：民主轉移是人民的勝利 ","2016.01.28"," 緬甸"
"395","阮富仲連任越共總書記 ","2016.01.28"," 越南"
"396","日本天皇夫婦出訪菲律賓 ","2016.01.27"," 菲律賓"
"397","斯里蘭卡銷毀非法象牙 ","2016.01.27"," 斯里蘭卡"
"398","提倡性別平等，澳洲退役將領獲選2016澳洲年度人物 ","2016.01.26"," 澳洲"
"399","大馬檢方：首相未受賄，6.81億美元是沙國皇室捐款 ","2016.01.26"," 馬來西亞"
"400","聯合國特使：預計於29日展開敘利亞和談 ","2016.01.26"," 敘利亞"
"401","法國總統歐蘭德抵印訪問 ","2016.01.25"," 印度"
"402","澳洲多位省長支持澳洲改為共和制 ","2016.01.25"," 澳洲"
"403","美國務卿施壓敘反對陣營參加和談 ","2016.01.25"," 敘利亞"
"404","日本政府解除對伊朗的制裁措施 ","2016.01.22"," 日本"
"405","越共召開全代會，將選出下任領導人 ","2016.01.22"," 越南"
"406","120個人道組織籲終結敘利亞內戰 ","2016.01.21"," 敘利亞"
"407","避險需求激勵日圓兌美元升至一年高點 ","2016.01.21"," 日本"
"408","「伊斯蘭國」摧毀伊拉克1,400年歷史之基督教修道院 ","2016.01.21"," 伊拉克"
"409","最強美軍戰機F-22飛抵日本 ","2016.01.21"," 日本"
"410","習近平訪沙烏地，簽署14項協議、備忘錄 ","2016.01.20"," 沙烏地阿拉伯"
"411","巴基斯坦大學發生槍擊案，造成至少20人死亡 ","2016.01.20"," 巴基斯坦"
"412","敘利亞和談恐無法如期展開 ","2016.01.20"," 敘利亞"
"413","巴基斯坦西北城市爆發炸彈攻擊，造成至少6人喪生 ","2016.01.19"," 巴基斯坦"
"414","日相安倍籲G7重納俄羅斯 ","2016.01.19"," 日本"
"415","敘利亞300平民遭「伊斯蘭國」殺害 ","2016.01.19"," 敘利亞"
"416","東京下起暴雪，逾百人受傷 ","2016.01.18"," 日本"
"417","美方證實數名美國公民在伊拉克遭綁架 ","2016.01.18"," 伊拉克"
"418","北韓提有條件取消核試 ","2016.01.18"," 北韓"
"419","稱慰安婦為妓女，日本自民黨議員失言致歉 ","2016.01.15"," 日本"
"420","雪梨歌劇院驚傳炸彈威脅，澳洲警方緊急疏散群眾 ","2016.01.15"," 澳洲"
"421","雅加達市中心發生恐攻，「伊斯蘭國」承認犯行 ","2016.01.15"," 印尼"
"422","以色列暗中拉攏遜尼派國家，共同抗衡伊朗 ","2016.01.15"," 以色列"
"423","伊朗移除核子反應爐核心 ","2016.01.15"," 伊朗"
"424","世界銀行：TPP對澳洲經濟貢獻不大 ","2016.01.14"," 澳洲"
"425","菲律賓擬向美國提供8軍事基地 ","2016.01.14"," 菲律賓"
"426","土耳其警察總部遭汽車炸彈攻擊 ","2016.01.14"," 土耳其"
"427","雅加達市中心發生連環爆炸，至少6死 ","2016.01.14"," 印尼"
"428","美軍誤闖伊朗海域遭扣案圓滿落幕 ","2016.01.14"," 伊朗"
"429","北韓無人機越軍事分界線，南韓開槍示警 ","2016.01.13"," 韓國"
"430","美軍誤闖伊朗海域遭扣留，伊朗允諾放人 ","2016.01.13"," 伊朗"
"431","巴基斯坦西南部城市發生爆炸，至少14人死亡 ","2016.01.13"," 巴基斯坦"
"432","菲最高法院裁定美菲國防合作協議合憲 ","2016.01.13"," 菲律賓"
"433","土耳其伊斯坦堡遭自殺攻擊，造成10人死亡 ","2016.01.13"," 土耳其"
"434","阻「中」艦橫行釣島，日擬派軍艦驅離 ","2016.01.13"," 日本"
"435","阿富汗和平協商，四國代表齊聚巴國 ","2016.01.12"," 巴基斯坦"
"436","「伊斯蘭國」在伊拉克首都發動攻擊，造成多人罹難 ","2016.01.12"," 伊拉克"
"437","對應中國大陸填海造島行動，美、菲擬研商策略 ","2016.01.12"," 菲律賓"
"438","緬甸召開全國和平會議 ","2016.01.12"," 緬甸"
"439","敘利亞城鎮400人瀕死，需緊急接受治療 ","2016.01.12"," 敘利亞"
"440","美國擬在南韓部署更多「戰略資產」，但不會重新部署核武 ","2016.01.12"," 南韓"
"441","抗議北京舉措，越南將增採南海石油 ","2016.01.12"," 越南"
"442","金正恩稱北韓核試為自衛性措施 ","2016.01.11"," 北韓"
"443","北韓核試影響，南韓總統民調止跌回升 ","2016.01.11"," 南韓"
"444","科威特加入與伊朗斷交行列 ","2016.01.06"," 科威特"
"445","美軍與「塔利班」交戰，造成一死兩傷 ","2016.01.06"," 阿富汗"
"446","日相安倍籲同俄國簽署和平條約 ","2016.01.06"," 日本"
"447","日韓就慰安婦雕像搬遷問題意見分歧 ","2016.01.05"," 南韓"
"448","翁山蘇姬：新政府的首要任務是建立和平 ","2016.01.05"," 緬甸"
"449","沙烏地阿拉伯盟邦與伊朗斷交 ","2016.01.05"," 沙烏地阿拉伯"
"450","沙烏地阿拉伯宣布與伊朗斷交 ","2016.01.04"," 沙烏地阿拉伯"
"451","印度發生6.8強震 ","2016.01.04"," 印度"
"452","土耳其駐兵伊拉克北部，加深兩國對立 ","2015.12.31"," 伊拉克"
"453","土耳其破獲新年夜恐攻陰謀 ","2015.12.31"," 土耳其"
"454","北韓統一戰線部部長金養建車禍身亡 ","2015.12.30"," 北韓"
"455","南韓獨佔世界前五大造船廠的時代宣告落幕 ","2015.12.30"," 南韓"
"456","伊拉克總理視察拉馬迪戰果 ","2015.12.30"," 伊拉克"
"457","身陷醜聞，澳洲兩位部長同日辭職 ","2015.12.29"," 澳大利亞"
"458","日韓就慰安婦問題達成協議，安倍會見外相岸田文雄 ","2015.12.29"," 日本"
"459","伊拉克部隊幾近收復拉馬迪全市 ","2015.12.29"," 伊拉克"
"460","中國大陸強勢作風迫使越南轉向美國 ","2015.12.29"," 越南"
"461","伊朗交出2.5萬磅低濃縮鈾，運往俄羅斯 ","2015.12.29"," 伊朗"
"462","日韓就慰安婦問題達成協議，日方將賠償並道歉 ","2015.12.28"," 韓國"
"463","伊拉克部隊攻下拉馬迪政府大樓 ","2015.12.28"," 伊拉克"
"464","莫迪突訪巴基斯坦，印巴關係回暖 ","2015.12.28"," 巴基斯坦"
"465","日相安倍指示外相岸田文雄赴韓協商慰安婦問題 ","2015.12.25"," 日本"
"466","英國背包客遊泰遇害案，兩名緬甸移工被判死刑 ","2015.12.25"," 泰國"
"467","喬治亞總理宣布辭去總理職務 ","2015.12.25"," 喬治亞"
"468","沙烏地阿拉伯醫院大火造成25死 ","2015.12.25"," 沙烏地阿拉伯"
"469","南韓正式宣布MERS疫情結束 ","2015.12.24"," 韓國"
"470","日本國防預算明年將突破5兆日圓 ","2015.12.24"," 日本"
"471","澳洲再逮捕2名恐攻嫌犯 ","2015.12.23"," 澳大利亞"
"472","聯合國下月將在瑞士舉行敘利亞和談 ","2015.12.23"," 敘利亞"
"473","英軍試圖助阿富汗政府瓦解「塔利班」攻勢 ","2015.12.23"," 阿富汗"
"474","印度小飛機墜毀，機上10名乘客無人生還 ","2015.12.22"," 印度"
"475","阿富汗自殺攻擊造成6名美軍死亡 ","2015.12.22"," 阿富汗"
"476","世界銀行：約旦總人口1/3為難民 ","2015.12.21"," 約旦"
"477","俄國空襲造成敘利亞平民數十人喪生 ","2015.12.21"," 敘利亞"
"478","斯里蘭卡明年擬將國會改為「憲政議會」 ","2015.12.21"," 斯里蘭卡"
"479","澳洲總理對日本捕鯨感到「失望」 ","2015.12.18"," 日本"
"480","南韓法院宣判日本記者誹謗朴槿惠罪名不成立 ","2015.12.18"," 韓國"
"481","葉門停火協議面臨破局 ","2015.12.17"," 葉門"
"482","北韓判處韓裔加拿大牧師無期勞改 ","2015.12.17"," 北韓"
"483","沙烏地阿拉伯宣布成立穆斯林反恐聯盟 ","2015.12.16"," 沙烏地阿拉伯"
"484","澳洲總理18日首度訪日 ","2015.12.16"," 日本"
